year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5,sensor_zone,sensor_noise,traffic_index
2010,1,1,0,-21,-11.0,1021.0,NW,1.79,0,0,,residential,-0.5709207387804615,2.3897082145722965
2010,1,1,1,-21,-12.0,1020.0,NW,4.92,0,0,,park,0.901589700629182,4.665827677047291
2010,1,1,2,-21,-11.0,1019.0,NW,6.71,0,0,,residential,0.09593611104024717,13.354448891367495
2010,1,1,3,-21,-14.0,1019.0,NW,9.84,0,0,,industrial,-0.390923172389272,2.879563341097393
2010,1,1,4,-20,-12.0,1018.0,NW,12.97,0,0,,park,-0.9621721030174177,6.587767451796725
2010,1,1,5,-19,-10.0,1017.0,NW,16.1,0,0,,industrial,-0.6236180415708463,2.598840618217344
2010,1,1,6,-19,-9.0,1017.0,NW,19.23,0,0,,industrial,-0.13117355993971955,4.604716607091537
2010,1,1,7,-19,-9.0,1017.0,NW,21.02,0,0,,residential,-0.8624722157408911,5.93843730351489
2010,1,1,8,-19,-9.0,1017.0,NW,24.15,0,0,,residential,0.39531455263530874,2.883434714751439
2010,1,1,9,-20,-8.0,1017.0,NW,27.28,0,0,,industrial,-1.668978096412946,6.485240958492762
2010,1,1,10,-19,-7.0,1017.0,NW,31.3,0,0,,residential,0.004436243101094477,7.123465738931513
2010,1,1,11,-18,-5.0,1017.0,NW,34.43,0,0,,park,-0.6821692717954904,4.792571809219814
2010,1,1,12,-19,-5.0,1015.0,NW,37.56,0,0,,residential,-2.0865203446536005,4.872211195816458
2010,1,1,13,-18,-3.0,1015.0,NW,40.69,0,0,,residential,0.4018160506327646,4.903141344734253
2010,1,1,14,-18,-2.0,1014.0,NW,43.82,0,0,,park,0.2419398181030278,10.09870421722763
2010,1,1,15,-18,-1.0,1014.0,cv,0.89,0,0,,industrial,-0.370896286222304,4.030203261823245
2010,1,1,16,-19,-2.0,1015.0,NW,1.79,0,0,,industrial,-1.3203094664208137,10.16777029377118
2010,1,1,17,-18,-3.0,1015.0,NW,2.68,0,0,,residential,-0.5790660012126788,1.4237496025218512
2010,1,1,18,-18,-5.0,1016.0,NE,1.79,0,0,,industrial,1.9942881366071363,6.638667120115537
2010,1,1,19,-17,-4.0,1017.0,NW,1.79,0,0,,industrial,0.7613744526180013,2.987970547181896
2010,1,1,20,-17,-5.0,1017.0,cv,0.89,0,0,,residential,-0.01189724887698509,5.405406463775418
2010,1,1,21,-17,-5.0,1018.0,NW,1.79,0,0,,industrial,-0.19732363135394587,6.805764707274591
2010,1,1,22,-17,-5.0,1018.0,NW,2.68,0,0,,park,0.5018270483437478,3.7676282614943184
2010,1,1,23,-17,-5.0,1020.0,cv,0.89,0,0,,park,0.7822617170325666,1.116886353498998
2010,1,2,0,-16,-4.0,1020.0,SE,1.79,0,0,129.0,industrial,-1.7456496019771157,5.44726476283471
